00000001	
00000000	00000000000000000000000000000000
00000001	00000000001000000000000000000001
00000002	00000000010000000000000000000010
00000003	00000000011000000000000000000011
00000004	00000000100000000000000000000100
00000005	00000000101000100000000000000000
00000006	00000000110000110000000000000000
00000007	00100000111001010011000000000000
00000008	00000100000001000011100000000000
00000009	00110100001000010000000000000001
0000000A	00110000010000100000000000000001
0000000B	00110000011000110000000000000001
0000000C	00110000100001000000000000000001
0000000D	10100111111000010000011111110111
0000000E	11111100000000000000000000000000
